,Filename,Scene ID,Total intensity LNP in entire img,Total intensity nucleus in entire img,Total intensity membrane in entire img,Intensity LNP in membrane mask,Intensity LNP in nucleus mask,Intensity LNP per membrane count,Intensity LNP per nucleus count,Frac intensity LNP in membrane mask over img,Frac intensity LNP in nucleus mask over img,Intensity LNP in membrane inner mask,Intensity LNP in membrane outer mask,Frac intensity LNP in membrane inner mask over membrane mask,Frac intensity LNP in membrane outer mask over membrane mask,Membrane count,Nucleus count
37,exp_4_cellonly_VTN.czi,1,223638,8689859,17570148,46148,40070,2307.4,1821.3636363636363,0.20635133564063352,0.1791734857224622,33182,12966,0.7190344110253966,0.28096558897460344,20,22
38,exp_4_cellonly_VTN.czi,2,370046,12128147,16972408,77784,56459,3241.0,1764.34375,0.21020089394291522,0.1525729233662842,59034,18750,0.7589478556001235,0.24105214439987657,24,32
39,exp_4_cellonly_VTN.czi,3,223121,21031564,21719770,109899,57830,5233.285714285715,1652.2857142857142,0.4925533679035142,0.2591867193137356,95587,14312,0.8697713354989581,0.13022866450104187,21,35
40,exp_4_cellonly_VTN.czi,4,303674,28351127,19933273,109854,50082,6462.0,2003.28,0.3617497711361526,0.1649202763489795,95486,14368,0.8692082218216906,0.1307917781783094,17,25
41,exp_4_cellonly_VTN.czi,5,407870,15554903,14246290,101386,57524,4055.44,1554.7027027027027,0.24857430063500624,0.14103513374359478,80239,21147,0.7914209062395202,0.20857909376047976,25,37
42,exp_4_cellonly_VTN.czi,6,268226,17326236,24321286,100999,53749,6733.266666666666,1580.8529411764705,0.37654440658250876,0.20038698709297384,85640,15359,0.8479291874176972,0.1520708125823028,15,34
43,exp_4_cellonly_VTN.czi,7,371706,16957514,19451437,99947,58136,6246.6875,2236.0,0.2688872388392977,0.15640317885640803,82040,17907,0.8208350425725635,0.17916495742743654,16,26
44,exp_4_cellonly_VTN.czi,8,413720,8145775,12099235,56669,48440,2982.5789473684213,1863.076923076923,0.13697428212317508,0.11708401817654453,41225,15444,0.7274700453510737,0.2725299546489262,19,26
45,exp_4_cellonly_VTN.czi,9,303921,23693335,21441034,115617,66207,5255.318181818182,2283.0,0.38041793755614123,0.21784279467361584,98526,17091,0.852175718103739,0.14782428189626093,22,29
46,exp_4_cellonly_VTN.czi,10,416596,20146982,21034539,106670,73659,4848.636363636364,3348.1363636363635,0.2560514263219042,0.17681158724519677,86416,20254,0.8101246836036374,0.18987531639636263,22,22
47,exp_4_cellonly_VTN.czi,11,495677,13148513,14467597,109535,68889,6085.277777777777,2460.3214285714284,0.22098059825249103,0.1389796177752851,89151,20384,0.8139042315241704,0.18609576847582965,18,28
48,exp_5_LNP_A2M.czi,0,2244914,35447345,10169256,888607,412425,52271.0,13747.5,0.395831198878888,0.18371527817992137,814589,74018,0.9167033345449676,0.08329666545503242,17,30
49,exp_5_LNP_A2M.czi,1,2608783,58913316,15137088,1232924,610991,102743.66666666667,21821.10714285714,0.4726050422745012,0.23420537469003747,1136712,96212,0.9219643708776859,0.07803562912231411,12,28
50,exp_5_LNP_A2M.czi,2,2225357,49541615,12879305,870275,361419,43513.75,13385.888888888889,0.39107208416447337,0.16240944711342944,778241,92034,0.8942472207060986,0.10575277929390135,20,27
51,exp_5_LNP_A2M.czi,3,2053729,44971576,20051699,918573,479575,41753.318181818184,17127.678571428572,0.4472707937610074,0.2335142562626325,828502,90071,0.9019446467509931,0.09805535324900688,22,28
52,exp_5_LNP_A2M.czi,4,2565143,58432022,33806761,1450356,872530,76334.52631578948,30087.241379310344,0.5654094138221534,0.3401486778709803,1336986,113370,0.9218329844534721,0.07816701554652788,19,29
53,exp_5_LNP_A2M.czi,5,1899127,45662769,22640754,867083,506993,37699.260869565216,16354.612903225807,0.4565692552420138,0.2669610826448152,757084,109999,0.8731390189866484,0.12686098101335166,23,31
54,exp_5_LNP_A2M.czi,6,2980420,103900202,22601701,1890436,907754,135031.14285714287,22140.341463414636,0.6342851007576114,0.30457250991471,1793903,96533,0.9489361184404022,0.051063881559597894,14,41
55,exp_5_LNP_A2M.czi,7,2884589,92604568,19240529,1317384,485847,82336.5,16194.9,0.4566972972579456,0.1684285005593518,1180201,137183,0.895867112398511,0.104132887601489,16,30
56,exp_5_LNP_A2M.czi,8,2125700,66605371,15517025,822274,319202,51392.125,11006.965517241379,0.38682504586724376,0.15016324034435716,729359,92915,0.8870023860659586,0.11299761393404145,16,29
57,exp_5_LNP_A2M.czi,9,2442955,35474249,19764759,1015456,660838,50772.8,23601.35714285714,0.41566709169837346,0.270507643407267,880776,134680,0.8673699303564113,0.1326300696435887,20,28
58,exp_5_LNP_A2M.czi,10,2345982,44794507,18569894,1015267,552653,44142.04347826087,19737.60714285714,0.4327684526138734,0.23557427124334288,849458,165809,0.8366843401784949,0.1633156598215051,23,28
59,exp_5_LNP_A2M.czi,11,1654898,16677019,11703663,524458,325174,32778.625,12506.692307692309,0.31691258313201176,0.196491868381012,461436,63022,0.879834038187996,0.12016596181200401,16,26
60,exp_6_cellonly_A2M.czi,0,195132,39827497,16777913,68295,33122,4017.3529411764707,1505.5454545454545,0.3499938503167087,0.1697415083123219,61255,7040,0.8969177831466433,0.10308221685335676,17,22
61,exp_6_cellonly_A2M.czi,1,266832,56490838,16776901,97971,54663,5442.833333333333,2186.52,0.36716360856269115,0.20485923727289082,86135,11836,0.8791887395249615,0.12081126047503853,18,25
62,exp_6_cellonly_A2M.czi,2,375946,63578236,16473224,135642,54983,7139.0526315789475,1570.942857142857,0.3608018172822693,0.1462523873109436,117504,18138,0.8662803556420577,0.13371964435794223,19,35
63,exp_6_cellonly_A2M.czi,3,208700,61481507,27043281,116185,61049,8937.307692307691,1907.78125,0.5567081935793005,0.29252036415908,109204,6981,0.9399147910659724,0.06008520893402763,13,32
64,exp_6_cellonly_A2M.czi,4,297428,67770188,21868966,125767,57246,7860.4375,2044.5,0.4228485549443899,0.1924701104132765,113816,11951,0.9049750729523643,0.09502492704763571,16,28
65,exp_6_cellonly_A2M.czi,5,428902,51531504,17007746,153136,82555,5889.846153846154,2428.0882352941176,0.35704193498747966,0.19247986719576965,130660,22476,0.8532285027687807,0.1467714972312193,26,34
66,exp_6_cellonly_A2M.czi,6,237649,69320312,26524140,116200,54122,6115.789473684211,1424.2631578947369,0.4889564020887948,0.22773922886273454,103246,12954,0.8885197934595525,0.1114802065404475,19,38
67,exp_6_cellonly_A2M.czi,7,342162,35888834,18544645,95791,54336,4561.476190476191,2173.44,0.2799580315756864,0.15880197099619478,79086,16705,0.8256099216001503,0.17439007839984969,21,25
68,exp_6_cellonly_A2M.czi,8,428140,39243800,18173373,131740,71756,5727.826086956522,1993.2222222222222,0.30770308777502686,0.16759938337926847,112211,19529,0.8517610444815545,0.14823895551844543,23,36
69,exp_6_cellonly_A2M.czi,9,225520,43938837,18841046,76283,39543,7628.3,1797.409090909091,0.3382538134090103,0.17534143313231643,70175,6108,0.9199297353276614,0.08007026467233853,10,22
70,exp_6_cellonly_A2M.czi,10,347900,46793437,25511327,99919,48270,6661.266666666666,2098.695652173913,0.28720609370508765,0.13874676631215865,87996,11923,0.8806733454097819,0.11932665459021807,15,23
