,Filename,Scene ID,Total LNP intensity in entire img,Total lysosome intensity in entire img,Total nucleus intensity in entire img,LNP intensity in nucleus mask,LNP intensity in lysosome mask,LNP intensity in lysosome mask per nucleus count,Frac LNP intensity in lysosome mask over LNP intensity in nucleus mask,Frac LNP intensity in lysosome mask over total LNP intensity,Lysosome mask count,Nucleus count
144,exp13_PBS.czi,0,55598,5068840,19703367,5319,451,20.5,0.0847903741304756,0.0081118025828267,140,22
145,exp13_PBS.czi,1,84552,3398642,6234221,1646,555,111.0,0.3371810449574726,0.0065640079477717,37,5
146,exp13_PBS.czi,2,139019,4385930,8148730,2277,86,10.75,0.0377689942907334,0.0006186204763377,34,8
147,exp13_PBS.czi,3,76108,6959020,33074456,10376,1458,56.07692307692308,0.1405165767154973,0.0191569874389026,286,26
148,exp13_PBS.czi,4,95792,7979768,28788484,7639,3713,148.52,0.4860583846053148,0.0387610656422248,373,25
149,exp13_PBS.czi,5,125907,3342676,3653787,1142,86,43.0,0.0753064798598949,0.0006830438339409,24,2
150,exp13_PBS.czi,6,90539,5670445,18976748,4969,1528,80.42105263157895,0.3075065405514188,0.016876705066325,204,19
151,exp13_PBS.czi,7,103306,6248183,11970391,3910,1765,135.76923076923077,0.4514066496163683,0.0170851644628579,258,13
152,exp13_PBS.czi,8,193692,4052055,5776802,1111,34,17.0,0.0306030603060306,0.000175536418644,15,2
153,exp13_PBS.czi,9,82934,7428036,32573951,10657,1833,65.46428571428571,0.171999624659848,0.0221019123640485,299,28
154,exp13_PBS.czi,10,100048,6677008,17651360,5026,1698,113.2,0.3378432152805412,0.016971853510315,276,15
155,exp13_PBS.czi,11,212893,3582830,2381147,0,0,,,0.0,0,0
156,exp14_LNP_np.czi,0,1040076,6434204,32921753,47784,4966,191.0,0.1039260003348401,0.00477465108319,175,26
157,exp14_LNP_np.czi,1,1247848,6238511,23803843,31712,14573,693.952380952381,0.4595421291624622,0.0116785057154397,215,21
158,exp14_LNP_np.czi,2,936571,3453149,8996533,35794,2069,413.8,0.0578029837402916,0.002209122426383,25,5
159,exp14_LNP_np.czi,3,919851,5595379,34258108,69013,6712,291.82608695652175,0.0972570385289728,0.0072968339437582,152,23
160,exp14_LNP_np.czi,4,1045573,7425640,23588179,27816,15443,671.4347826086956,0.5551840667241875,0.014769891724442,280,23
161,exp14_LNP_np.czi,5,834594,3241705,6407420,15731,5545,924.1666666666666,0.3524887165469455,0.0066439490339015,19,6
162,exp14_LNP_np.czi,6,869120,7753077,28885216,29069,4407,169.5,0.1516048023667824,0.0050706461708394,277,26
