,Filename,Scene ID,Total intensity LNP in entire img,Total intensity nucleus in entire img,Total intensity membrane in entire img,Intensity LNP in membrane mask,Intensity LNP in nucleus mask,Intensity LNP per membrane count,Intensity LNP per nucleus count,Frac intensity LNP in membrane mask over img,Frac intensity LNP in nucleus mask over img,Intensity LNP in membrane inner mask,Intensity LNP in membrane outer mask,Frac intensity LNP in membrane inner mask over membrane mask,Frac intensity LNP in membrane outer mask over membrane mask,Membrane count,Nucleus count
50,exp_5_LNP_A2M.czi,2,2225357,49541615,12879305,831840,361419,41592.0,13385.888888888889,0.3738006980453024,0.16240944711342944,723595,108245,0.869872812079246,0.13012718792075398,20,27
51,exp_5_LNP_A2M.czi,3,2053729,44971576,20051699,847319,479575,38514.5,17127.678571428572,0.4125758559186728,0.2335142562626325,733643,113676,0.8658403741684064,0.13415962583159352,22,28
52,exp_5_LNP_A2M.czi,4,2565143,58432022,33806761,1390711,872530,73195.31578947368,30087.241379310344,0.5421572988328526,0.3401486778709803,1240469,150242,0.8919674900105055,0.10803250998949458,19,29
53,exp_5_LNP_A2M.czi,5,1899127,45662769,22640754,814174,506993,38770.19047619047,16354.612903225807,0.42870961236399674,0.2669610826448152,689664,124510,0.8470720018079674,0.15292799819203265,21,31
54,exp_5_LNP_A2M.czi,6,2980420,103900202,22601701,1711418,907754,90074.63157894737,22140.341463414636,0.5742204118882573,0.30457250991471,1516017,195401,0.8858250877342648,0.1141749122657352,19,41
55,exp_5_LNP_A2M.czi,7,2884589,92604568,19240529,1202808,485847,60140.4,16194.9,0.41697725395194946,0.1684285005593518,1021452,181356,0.8492228186044656,0.15077718139553445,20,30
56,exp_5_LNP_A2M.czi,8,2125700,66605371,15517025,772391,319202,51492.73333333333,11006.965517241379,0.3633584231076822,0.15016324034435716,665219,107172,0.8612464412454314,0.1387535587545686,15,29
57,exp_5_LNP_A2M.czi,9,2442955,35474249,19764759,905071,660838,47635.31578947369,23601.35714285714,0.3704820596367923,0.270507643407267,766030,139041,0.8463755882135213,0.15362441178647862,19,28
58,exp_5_LNP_A2M.czi,10,2345982,44794507,18569894,806344,552653,36652.0,19737.60714285714,0.34371278211000766,0.23557427124334288,665006,141338,0.8247174903019059,0.1752825096980941,22,28
59,exp_5_LNP_A2M.czi,11,1654898,16677019,11703663,525683,325174,30922.529411764706,12506.692307692309,0.31765281002212825,0.196491868381012,461929,63754,0.8787215869640068,0.12127841303599317,17,26
60,exp_6_cellonly_A2M.czi,0,195132,39827497,16777913,62934,33122,3933.375,1505.5454545454545,0.322520140212779,0.1697415083123219,53309,9625,0.847062001461849,0.15293799853815107,16,22
61,exp_6_cellonly_A2M.czi,1,266832,56490838,16776901,87285,54663,4364.25,2186.52,0.3271159381183666,0.20485923727289082,70579,16706,0.8086039983960589,0.1913960016039411,20,25
62,exp_6_cellonly_A2M.czi,2,375946,63578236,16473224,122680,54983,5841.9047619047615,1570.942857142857,0.32632346134817236,0.1462523873109436,103511,19169,0.8437479621780242,0.15625203782197586,21,35
