,Filename,Scene ID,Total LNP intensity in entire img,Total membrane intensity in entire img,Total nucleus intensity in entire img,LNP intensity in membrane mask,LNP intensity in nucleus mask,LNP intensity in inner membrane mask,LNP intensity in outer membrane mask,LNP intensity in membrane mask per membrane count,LNP intensity in nucleus mask per nucleus count,Frac LNP intensity in membrane mask over total LNP intensity,Frac LNP intensity in nucleus mask over total LNP intensity,Frac LNP intensity in membrane inner mask over LNP intensity in membrane mask,Frac LNP intensity in membrane outer mask over LNP intensity in membrane mask,Membrane count,Nucleus count
19,exp_2_cellonly_np.czi,7,205730,27963809,10238963,73842,34996,64075,9767,3886.4210526315783,1458.1666666666667,0.3589267486511447,0.1701064502017207,0.8677311015411283,0.1322688984588716,19,24
20,exp_2_cellonly_np.czi,8,249014,14851942,9853107,55035,22893,46421,8614,3439.6875,847.8888888888889,0.2210116700265848,0.0919345900230509,0.8434814209139638,0.1565185790860361,16,27
21,exp_2_cellonly_np.czi,9,207114,52251745,13876390,111350,53327,98515,12835,6186.111111111111,1045.6274509803925,0.5376266210879033,0.2574765588033643,0.8847328244274809,0.115267175572519,18,51
22,exp_2_cellonly_np.czi,10,232762,28933032,12494333,67870,35832,59109,8761,4847.857142857143,1628.7272727272727,0.2915853962416546,0.1539426538696179,0.8709149845292471,0.1290850154707529,14,22
23,exp_2_cellonly_np.czi,11,270286,28398445,16181330,83048,41012,71057,11991,3954.6666666666665,1464.7142857142858,0.3072597174844424,0.1517355689898848,0.8556136210384356,0.1443863789615644,21,28
24,exp_3_LNP_VTN.czi,0,5446933,12684475,14291032,3530588,1574652,2908805,621783,168123.2380952381,54298.34482758621,0.6481790761883798,0.2890896583453477,0.8238868426449079,0.1761131573550921,21,29
25,exp_3_LNP_VTN.czi,1,4670861,19237464,14612950,2801051,1236186,2309343,491708,164767.70588235295,47545.61538461538,0.5996862248737438,0.2646591281564576,0.8244558917349237,0.1755441082650762,17,26
26,exp_3_LNP_VTN.czi,2,3390824,11095102,12799443,1552364,617323,1176904,375460,73922.09523809524,17147.86111111111,0.4578132041061405,0.1820569277556133,0.7581366225962468,0.2418633774037532,21,36
27,exp_3_LNP_VTN.czi,3,6628228,16569751,14228546,4542745,2101869,3980944,561801,302849.6666666667,70062.3,0.685363418397798,0.3171087355474193,0.876330060348974,0.1236699396510259,15,30
28,exp_3_LNP_VTN.czi,4,6459415,16478763,27178584,4318903,2004615,3507417,811486,227310.68421052632,83525.625,0.6686213844442569,0.3103400230516231,0.8121083062064604,0.1878916937935397,19,24
29,exp_3_LNP_VTN.czi,5,4881210,8184920,13085441,2694324,1167970,2120497,573827,134716.2,43258.148148148146,0.551978710196857,0.2392787853831324,0.7870237580929391,0.2129762419070609,20,27
30,exp_3_LNP_VTN.czi,6,6850462,6097103,20798827,3800613,2229956,2955058,845555,200032.26315789475,82590.96296296296,0.554796596200373,0.3255190671811623,0.777521415624269,0.2224785843757309,19,27
31,exp_3_LNP_VTN.czi,7,5422870,6016900,18180522,2895502,1622518,2278675,616827,160861.22222222222,77262.76190476191,0.5339427277437961,0.2991991325626467,0.7869706185663142,0.2130293814336857,18,21
32,exp_3_LNP_VTN.czi,8,4025352,3632064,19409424,1460802,1225977,1019437,441365,69562.0,58379.857142857145,0.3629004370301032,0.3045639238506347,0.6978611748888625,0.3021388251111376,21,21
33,exp_3_LNP_VTN.czi,9,7290660,22517352,16115121,4556660,2221459,3857178,699482,268038.82352941175,105783.76190476192,0.6249996570955167,0.3046993002005305,0.8464923869676474,0.1535076130323526,17,21
34,exp_3_LNP_VTN.czi,10,6366783,18153770,21601578,3937815,1980547,3191252,746563,218767.5,86110.73913043478,0.6184936725501717,0.3110749965877586,0.8104118654634613,0.1895881345365386,18,23
35,exp_3_LNP_VTN.czi,11,4888455,10152365,11413641,2605372,1108292,2214443,390929,118426.0,41047.851851851854,0.5329643005816767,0.2267162119729035,0.8499527130866533,0.1500472869133467,22,27
36,exp_4_cellonly_VTN.czi,0,187178,13016910,21286056,78323,45705,66634,11689,4895.1875,1202.7631578947369,0.4184412698073491,0.2441793373152827,0.8507590362984053,0.1492409637015946,16,38
37,exp_4_cellonly_VTN.czi,1,223638,8689859,17570148,59948,38717,50070,9878,3330.4444444444443,1935.85,0.2680582012001538,0.1731235299904309,0.8352238606792554,0.1647761393207446,18,20
38,exp_4_cellonly_VTN.czi,2,370046,12128147,16972408,93120,52235,75800,17320,4232.727272727273,1801.2068965517242,0.2516443901568994,0.1411581262870021,0.8140034364261168,0.1859965635738831,22,29
39,exp_4_cellonly_VTN.czi,3,223121,21031564,21719770,109397,54343,95196,14201,5469.85,1646.7575757575758,0.4903034676251899,0.2435584279382039,0.8701883963911259,0.1298116036088741,20,33
40,exp_4_cellonly_VTN.czi,4,303674,28351127,19933273,103784,48271,89637,14147,6918.933333333333,2011.2916666666667,0.3417612307935483,0.158956644296186,0.8636880443999075,0.1363119556000925,15,24
41,exp_4_cellonly_VTN.czi,5,407870,15554903,14246290,109206,56433,87786,21420,4044.6666666666665,1567.5833333333333,0.2677470762743031,0.1383602618481378,0.8038569309378606,0.1961430690621394,27,36
42,exp_4_cellonly_VTN.czi,6,268226,17326236,24321286,103911,53749,89884,14027,7422.214285714285,1580.8529411764705,0.3874009231021601,0.2003869870929738,0.8650094792659102,0.1349905207340897,14,34
43,exp_4_cellonly_VTN.czi,7,371706,16957514,19451437,98986,54261,81608,17378,6599.066666666667,2260.875,0.2663018622244462,0.1459782731513615,0.824439819772493,0.1755601802275069,15,24
44,exp_4_cellonly_VTN.czi,8,413720,8145775,12099235,83291,47851,68061,15230,4627.277777777777,1914.04,0.2013221502465435,0.1156603499951658,0.817147110732252,0.182852889267748,18,25
45,exp_4_cellonly_VTN.czi,9,303921,23693335,21441034,111079,63354,93533,17546,5049.045454545455,2262.6428571428573,0.3654864257487966,0.2084554867876849,0.842040349661052,0.1579596503389479,22,28
46,exp_4_cellonly_VTN.czi,10,416596,20146982,21034539,103099,72262,82321,20778,5154.95,3441.0476190476193,0.247479572535502,0.1734582185138599,0.7984655525271827,0.2015344474728174,20,21
47,exp_4_cellonly_VTN.czi,11,495677,13148513,14467597,119940,64723,100269,19671,7055.294117647059,2696.7916666666665,0.241972090696159,0.1305749510265757,0.8359929964982491,0.1640070035017508,17,24
48,exp_5_LNP_A2M.czi,0,2244914,35447345,10169256,838020,412425,749923,88097,49295.294117647056,13747.5,0.3732971508039951,0.1837152781799213,0.8948748239898809,0.105125176010119,17,30
49,exp_5_LNP_A2M.czi,1,2608783,58913316,15137088,1149649,610991,1028597,121052,71853.0625,21821.10714285714,0.4406840277631371,0.2342053746900374,0.8947052535165081,0.1052947464834919,16,28
50,exp_5_LNP_A2M.czi,2,2225357,49541615,12879305,807962,361419,704746,103216,44886.77777777778,13385.888888888889,0.3630707342687038,0.1624094471134294,0.8722514177646968,0.1277485822353031,18,27
51,exp_5_LNP_A2M.czi,3,2053729,44971576,20051699,833532,479575,725275,108257,39692.0,17127.678571428572,0.405862701456716,0.2335142562626325,0.870122562781033,0.129877437218967,21,28
52,exp_5_LNP_A2M.czi,4,2565143,58432022,33806761,1375980,851286,1227874,148106,80940.0,30403.071428571428,0.5364145390724806,0.331866878376761,0.8923632610939113,0.1076367389060887,17,28
53,exp_5_LNP_A2M.czi,5,1899127,45662769,22640754,812678,506993,688623,124055,40633.9,16354.612903225809,0.4279218820015723,0.2669610826448152,0.8473503650892481,0.1526496349107518,20,31
54,exp_5_LNP_A2M.czi,6,2980420,103900202,22601701,1706705,907754,1513567,193138,94816.94444444444,22140.341463414636,0.5726390911348065,0.30457250991471,0.8868357449002611,0.1131642550997389,18,41
55,exp_5_LNP_A2M.czi,7,2884589,92604568,19240529,1190201,485847,1012380,177821,66122.27777777778,16194.9,0.4126067873100812,0.1684285005593518,0.8505958237306136,0.1494041762693864,18,30
56,exp_5_LNP_A2M.czi,8,2125700,66605371,15517025,770471,315159,664094,106377,55033.642857142855,11255.67857142857,0.3624551912311238,0.1482612786376252,0.8619325062202211,0.1380674937797788,14,28
57,exp_5_LNP_A2M.czi,9,2442955,35474249,19764759,892611,561207,757532,135079,52506.529411764706,22448.28,0.3653816791549578,0.2297246572286432,0.8486698012908198,0.1513301987091801,17,25
58,exp_5_LNP_A2M.czi,10,2345982,44794507,18569894,778974,481522,654664,124310,37094.0,18520.07692307692,0.3320460259285877,0.2052539192542824,0.840418293806982,0.159581706193018,21,26
59,exp_5_LNP_A2M.czi,11,1654898,16677019,11703663,522256,303340,459918,62338,34817.066666666666,12639.166666666666,0.3155819875303493,0.1832983059983153,0.8806370821972366,0.1193629178027634,15,24
60,exp_6_cellonly_A2M.czi,0,195132,39827497,16777913,62576,30589,53055,9521,4171.733333333334,1456.6190476190477,0.3206854846975381,0.1567605518315806,0.847849015597034,0.1521509844029659,15,21
61,exp_6_cellonly_A2M.czi,1,266832,56490838,16776901,85687,54663,69357,16330,4760.388888888889,2186.52,0.3211271511662769,0.2048592372728908,0.8094226662154119,0.1905773337845881,18,25
62,exp_6_cellonly_A2M.czi,2,375946,63578236,16473224,122680,54983,103511,19169,5841.9047619047615,1570.942857142857,0.3263234613481723,0.1462523873109436,0.8437479621780242,0.1562520378219758,21,35
63,exp_6_cellonly_A2M.czi,3,208700,61481507,27043281,105866,59747,95734,10132,6227.411764705882,1927.3225806451612,0.5072640153330139,0.2862817441303306,0.904294107645514,0.0957058923544858,17,31
64,exp_6_cellonly_A2M.czi,4,297428,67770188,21868966,112526,55963,97547,14979,7501.733333333334,2152.423076923077,0.3783302177333674,0.1881564613956991,0.8668840978973749,0.1331159021026251,15,26
65,exp_6_cellonly_A2M.czi,5,428902,51531504,17007746,133656,81002,110003,23653,5346.24,2531.3125,0.3116236343034073,0.1888589934297345,0.8230307655473753,0.1769692344526246,25,32
66,exp_6_cellonly_A2M.czi,6,237649,69320312,26524140,97450,54122,81372,16078,4236.95652173913,1424.2631578947369,0.4100585317001123,0.2277392288627345,0.8350128270908158,0.1649871729091842,23,38
67,exp_6_cellonly_A2M.czi,7,342162,35888834,18544645,84672,54336,66998,17674,4032.0,2173.44,0.2474617286548477,0.1588019709961947,0.7912651171579743,0.2087348828420257,21,25
