,Filename,Scene ID,Total LNP intensity in entire img,Total membrane intensity in entire img,Total nucleus intensity in entire img,LNP intensity in membrane mask,LNP intensity in nucleus mask,LNP intensity in inner membrane mask,LNP intensity in outer membrane mask,LNP intensity in membrane mask per membrane count,LNP intensity in membrane mask per nucleus count,LNP intensity in nucleus mask per nucleus count,Frac LNP intensity in membrane mask over total LNP intensity,Frac LNP intensity in nucleus mask over total LNP intensity,Frac LNP intensity in membrane inner mask over LNP intensity in membrane mask,Frac LNP intensity in membrane outer mask over LNP intensity in membrane mask,Membrane count,Nucleus count
10,exp_1_LNP_np.czi,10,2895262,40885202,8336273,999929,504651,866291,133638,52627.84210526316,43475.17391304348,21941.347826086956,0.3453673622628971,0.1743023602009075,0.866352511028283,0.133647488971717,19,23
11,exp_1_LNP_np.czi,11,2359975,43211819,27694971,1050097,533396,921557,128540,55268.26315789474,30885.20588235294,15688.117647058823,0.4449610695028549,0.2260176484920391,0.8775922605245039,0.122407739475496,19,34
12,exp_2_cellonly_np.czi,0,156052,19896119,6028621,53923,22528,47811,6112,3171.9411764705883,1997.148148148148,834.3703703703703,0.3455450747186835,0.1443621356983569,0.886653190660757,0.113346809339243,17,27
13,exp_2_cellonly_np.czi,1,157972,11776811,3560307,20902,7322,18569,2333,4180.4,4180.4,1464.4,0.1323145873952346,0.0463499860734813,0.8883838867094058,0.1116161132905942,5,5
14,exp_2_cellonly_np.czi,2,216612,15182644,7296585,60702,22445,51734,8968,4335.857142857143,1896.9375,701.40625,0.2802337820619356,0.1036184514246671,0.8522618694606438,0.1477381305393562,14,32
15,exp_2_cellonly_np.czi,3,168764,38868703,14045537,76287,42848,68216,8071,4238.166666666667,2825.4444444444443,1586.962962962963,0.4520336090635443,0.2538930103576592,0.8942021576415379,0.1057978423584621,18,27
16,exp_2_cellonly_np.czi,4,212956,31815742,21105721,84909,42056,75848,9061,4468.894736842105,2739.0,1356.645161290323,0.3987161667198858,0.1974868047859651,0.8932857529826049,0.1067142470173951,19,31
17,exp_2_cellonly_np.czi,5,269898,27755090,15624949,104223,42629,90819,13404,5211.15,2542.0243902439024,1039.7317073170732,0.3861569926416646,0.1579448532408539,0.8713911516651794,0.1286088483348205,20,41
18,exp_2_cellonly_np.czi,6,189610,27192440,11878983,92529,50765,79541,12988,3855.375,2102.931818181818,1153.75,0.487996413691261,0.2677337693159643,0.8596331960790671,0.1403668039209329,24,44
19,exp_2_cellonly_np.czi,7,205730,27963809,10238963,77826,34996,68843,8983,4096.105263157895,3242.75,1458.1666666666667,0.3782919360326641,0.1701064502017207,0.8845758486880991,0.1154241513119009,19,24
20,exp_2_cellonly_np.czi,8,249014,14851942,9853107,55031,22893,46389,8642,3439.4375,2038.1851851851852,847.8888888888889,0.2209956066727172,0.0919345900230509,0.8429612400283477,0.1570387599716523,16,27
21,exp_2_cellonly_np.czi,9,207114,52251745,13876390,118345,54143,108707,9638,6574.722222222223,2191.574074074074,1002.6481481481482,0.5714002916268335,0.2614164180113367,0.9185601419578352,0.0814398580421648,18,54
22,exp_2_cellonly_np.czi,10,232762,28933032,12494333,70379,35832,63005,7374,5027.071428571428,3199.0454545454545,1628.7272727272727,0.302364647150308,0.1539426538696179,0.8952244277412297,0.1047755722587703,14,22
23,exp_2_cellonly_np.czi,11,270286,28398445,16181330,85358,41012,73990,11368,4267.9,3048.5,1464.7142857142858,0.3158062200779915,0.1517355689898848,0.8668197474167624,0.1331802525832376,20,28
24,exp_3_LNP_VTN.czi,0,5446933,12684475,14291032,3332834,1540892,2652639,680195,166641.7,119029.78571428572,55031.857142857145,0.6118735075316697,0.2828916750031623,0.795910927456933,0.2040890725430669,20,28
25,exp_3_LNP_VTN.czi,1,4670861,19237464,14612950,2800739,1236186,2308542,492197,164749.35294117648,107720.73076923077,47545.61538461538,0.5996194277671718,0.2646591281564576,0.8242617394908986,0.1757382605091013,17,26
26,exp_3_LNP_VTN.czi,2,3390824,11095102,12799443,1330728,565865,928030,402698,70038.31578947368,42926.70967741936,18253.709677419356,0.3924497408299575,0.1668812654387252,0.6973851906625547,0.3026148093374454,19,31
